video_id,title,channel_title,category_id,views,likes,dislikes,comment_total,date
8QgMh02JvS8,The $80 Smartphone Challenge,Austin Evans,28,387841,12097,458,1771,13.09
U2CqZNd6rgM,Welcome to JURASSIC FALLS!,Brave Wilderness,15,2384126,50006,1918,6584,13.09
pwHvK07tUuw,24 Genres. Two Artists. One song. All voices. - Shape of You Ed Sheeran,Peter Hollens,10,699671,49246,995,4863,13.09
tt2k8PGm-TI,ZAYN - Dusk Till Dawn ft. Sia,ZaynVEVO,10,36297533,1431489,28044,100632,13.09
o_6euFCz-qc,FENTY BEAUTY - FIRST IMPRESSIONS & REVIEW | JAMIE GENEVIEVE,Jamie Genevieve,22,413246,17086,338,1587,13.09
7hOaSFP3n0A,Match of the the Day's Premier League all-time XI - BBC Sport,BBC Sport,17,2594,100,2,17,13.09
AR4UgRJOUQY,What Does Your Search History Say About You?,AsapSCIENCE,28,1244984,29748,2639,4112,13.09
A520AWwJ9lQ,XQ Super School Live | Broadcast and Pre-Show,XQ America,29,104920,268,60,6,13.09
vaspC5kfqDU,INTER vs SPAL 2-0 - Goals & Highlights - 10/09/2017 (HD),Football Élite,17,67151,264,18,33,13.09
fQxLlq7lxVM,"FENTY BEAUTY | FULL FACE BEAT,  IMPRESSIONS + REVIEW",Shameless Maya,26,406279,20499,516,6361,13.09
xItyQC64KWQ,UFC 215: Post-fight Press Conference,UFC - Ultimate Fighting Championship,17,131005,859,867,532,13.09
dLjaN5ofNk0,Tunnel Cam | Leicester City vs Chelsea | 2017/2018,LCFC,17,25343,167,17,42,13.09
WCKJPn1UcXc,One America Appeal: Our Friends In Texas,One America Appeal,22,952919,17703,3207,0,13.09
jG2Qf-DIofk,U2: You're the Best Thing About Me,The Tonight Show Starring Jimmy Fallon,23,288535,4772,159,397,13.09
L4titplowQY,Janet Jackson | What About (LIVE) | State Of The World Tour,JanetJacksonLEGACY,24,97368,335,11,56,13.09
eJB1gcydsbU,If kids shows were honest about life,AnthonyPadilla,23,614608,49441,1986,3970,13.09
VEoITVHfyGg,Harry Potter Theory: The History Of Hagrid’s Wand,SuperCarlinBrothers,22,463276,19286,393,2304,13.09
JWEwib4VQgs,Full Face of FIRST IMPRESSIONS 🤔💬 Testing NEW Makeup 💕,Shaaanxo,26,299228,16290,155,901,13.09
O23RPDMdEg8,EMOTIONAL BACK TO SCHOOL!,SACCONEJOLYs,22,241329,12247,203,1013,13.09
ahw3WH_UW7M,Mixing All My Foundations Together,Safiya Nygaard,22,3970592,154729,1972,7476,13.09
nL_QIbe2RZ4,Bojack Horseman - For Your Own Good,Cameron Steggles,22,61565,1039,14,471,13.09
2FTxKFsWz60,"The Current War Official Trailer #1 (2017) Benedict Cumberbatch, Tom Holland Biography Movie HD",Zero Media,1,738448,8415,199,949,13.09
XJK8GXVvKkA,How To Be Honest | Awkward Puppets,Awkward Puppets,23,1884820,55235,1132,3279,13.09
8Z01336nDlU,Are You Fooled By These Audio Illusions?,Good Mythical Morning,23,1834397,45754,1406,10764,13.09
EQkdqhyKMdk,Tracking Hurricane Irma 9-8-17 8pm Advisory,CBS Miami,25,1101502,4117,993,2358,13.09
c3pFWJCQy5E,Update: Problem with Chemo Pills,Courtelizz1,26,108797,3677,107,732,13.09
